Id,Count,ExcerptPostId
1714,7,
1716,2,
1718,2,85823
1719,7,
1720,8,
1721,1,86337
1723,5,86549
1724,20,86507
1726,8,
1728,2,
1733,25,
1735,30,88969
1736,19,
1738,3,
1739,2,
1740,4,
1744,1,
1745,5,
1746,3,
1748,9,
1750,1,
1752,5,
1753,2,
1754,5,
1757,1,
1758,7,
1759,8,93050
1760,2,
1761,11,
1763,9,93739
1764,3,
1765,5,
1766,6,
1768,3,
1769,8,
1770,1,
1772,8,
1773,9,96235
1775,9,96219
1777,31,
1779,4,
1780,4,
1783,15,104826
1784,5,97865
1785,1,
1786,3,
1787,3,99142
1788,1,
1789,1,
1790,1,
1791,1,100217
1792,1,
1793,2,
1794,1,
1795,2,
1796,11,
1797,4,
1798,7,
1800,1,102938
1801,4,
1802,1,
1803,1,
1804,2,
1806,2,
1809,6,
1810,10,109442
1812,6,
1813,1,
1814,1,
1815,1,
1818,1,
1819,3,107659
1820,27,107801
1822,5,108053
1825,1,
1826,2,
1828,1,
1829,3,109367
1830,2,
1831,2,
1835,1,
1836,1,
1837,1,
1839,4,111165
1841,1,
1842,3,
1843,1,
1844,1,
1845,1,
1847,1,
1848,1,
1849,1,112069
1850,1,112071
1851,2,
1852,1,
1853,4,
1854,1,
1855,1,
1856,1,
1857,1,
1858,2,
1859,3,114058
1860,1,
1861,2,
1862,1,
1863,2,
1864,1,
1865,1,
1866,1,
1867,1,
1868,1,
1869,1,
