Id,PostTypeId,CreationDate,Score,ViewCount,OwnerUserId,AnswerCount,CommentCount,FavoriteCount,LastEditorUserId
115,2,2010-07-19 21:01:35,1,,127,,0,,615
116,2,2010-07-19 21:04:16,12,,72,,4,,
117,2,2010-07-19 21:04:24,25,,36,,1,,36
118,1,2010-07-19 21:04:39,122,39118,83,19,11,69,88
119,2,2010-07-19 21:11:44,6,,88,,3,,88
120,2,2010-07-19 21:14:07,39,,41,,4,,
121,2,2010-07-19 21:14:25,71,,61,,6,,
123,2,2010-07-19 21:15:20,13,,130,,0,,
124,1,2010-07-19 21:17:30,23,1131,131,7,0,22,88
125,1,2010-07-19 21:18:12,75,29261,5,26,2,78,88
126,2,2010-07-19 21:19:43,26,,5,,4,,
127,2,2010-07-19 21:23:20,18,,61,,2,,
128,1,2010-07-19 21:23:57,3,12626,132,1,0,4,88
129,2,2010-07-19 21:24:58,4,,8,,0,,8
130,1,2010-07-19 21:26:27,30,7111,90,3,10,12,88
131,2,2010-07-19 21:28:41,23,,5,,0,,5
132,2,2010-07-19 21:29:37,6,,22,,0,,
133,2,2010-07-19 21:31:53,0,,139,,2,,
134,1,2010-07-19 21:32:38,10,4572,138,8,6,7,8
135,2,2010-07-19 21:36:12,7,,39,,3,,39
137,2,2010-07-19 21:38:09,15,,74,,2,,74
138,1,2010-07-19 21:38:10,67,14326,142,21,4,111,142
139,2,2010-07-19 21:39:17,21,,5,,2,,
140,2,2010-07-19 21:39:35,7,,88,,0,,
141,2,2010-07-19 21:40:02,2,,142,,0,,615
142,2,2010-07-19 21:42:57,5,,8,,0,,
143,2,2010-07-19 21:48:28,5,,88,,2,,
144,2,2010-07-19 21:48:52,17,,22,,0,,22
145,1,2010-07-19 21:50:16,4,2287,138,5,4,2,442
146,1,2010-07-19 21:52:51,12,4419,144,6,3,6,919
147,2,2010-07-19 21:53:02,4,,142,,0,,
148,2,2010-07-19 21:58:51,4,,130,,0,,
149,2,2010-07-19 22:02:10,8,,74,,0,,74
150,2,2010-07-19 22:13:29,3,,25,,1,,
151,2,2010-07-19 22:31:12,60,,81,,4,,81
152,1,2010-07-19 22:37:38,9,1008,,2,2,1,919
153,2,2010-07-19 22:39:27,6,,145,,1,,
154,2,2010-07-19 22:40:47,20,,108,,3,,108
155,1,2010-07-19 22:43:50,27,3293,154,10,2,17,8489
156,1,2010-07-19 22:50:13,2,233,148,1,0,1,10515
157,2,2010-07-19 22:52:22,7,,36,,3,,
159,2,2010-07-19 23:00:30,8,,145,,0,,
160,2,2010-07-19 23:06:43,1,,158,,0,,615
161,1,2010-07-19 23:11:36,9,2304,154,2,0,2,159
162,2,2010-07-19 23:13:32,14,,74,,4,,74
163,2,2010-07-19 23:17:53,5,,81,,6,,81
164,2,2010-07-19 23:19:44,2,,158,,0,,
165,1,2010-07-19 23:21:05,56,22890,74,8,3,47,2910
166,1,2010-07-19 23:21:35,10,12304,154,3,0,5,442
167,2,2010-07-19 23:26:31,10,,159,,4,,
168,1,2010-07-19 23:26:44,17,1022,8,2,1,6,8
169,2,2010-07-19 23:27:36,2,,159,,0,,
170,1,2010-07-19 23:29:54,56,7733,8,19,1,75,69
171,2,2010-07-19 23:32:30,8,,159,,0,,
172,2,2010-07-19 23:34:18,10,,74,,1,,74
173,1,2010-07-19 23:37:22,15,2519,71,9,0,11,71
174,2,2010-07-19 23:37:43,35,,159,,0,,159
175,1,2010-07-19 23:39:49,29,28291,13,8,1,24,159
176,2,2010-07-19 23:40:01,18,,81,,2,,81
177,2,2010-07-19 23:45:44,22,,159,,2,,159
178,2,2010-07-19 23:48:50,9,,74,,0,,74
179,2,2010-07-19 23:59:29,12,,159,,0,,
180,2,2010-07-20 00:06:20,4,,90,,0,,
181,1,2010-07-20 00:15:02,50,39097,159,4,0,44,28988
182,2,2010-07-20 00:15:47,16,,74,,0,,74
183,1,2010-07-20 00:20:51,3,753,166,4,1,,
184,2,2010-07-20 00:21:58,6,,159,,0,,
185,2,2010-07-20 00:30:00,10,,80,,2,,
187,2,2010-07-20 00:47:45,3,,119,,0,,
188,2,2010-07-20 00:52:13,21,,61,,4,,
189,2,2010-07-20 00:59:34,4,,173,,2,,
190,2,2010-07-20 01:07:38,7,,25,,0,,
191,2,2010-07-20 01:17:17,3,,173,,0,,
192,1,2010-07-20 01:18:11,3,1597,1356,4,1,4,930
193,2,2010-07-20 01:45:12,6,,,,0,,7290
194,1,2010-07-20 01:47:36,6,838,175,3,2,3,
195,1,2010-07-20 02:01:05,5,506,173,3,0,3,
196,1,2010-07-20 02:17:24,19,4090,87,6,2,12,9007
197,2,2010-07-20 02:24:38,9,,5,,1,,5
198,2,2010-07-20 02:32:43,3,,61,,0,,183
199,2,2010-07-20 02:32:53,4,,5,,0,,
200,2,2010-07-20 02:48:45,13,,174,,3,,174
201,2,2010-07-20 03:11:36,8,,183,,0,,
202,2,2010-07-20 03:13:22,11,,183,,0,,183
203,1,2010-07-20 03:31:45,16,6033,183,5,2,2,930
204,2,2010-07-20 03:35:58,7,,183,,2,,183
205,1,2010-07-20 03:51:24,12,543,187,2,0,2,159
206,1,2010-07-20 03:53:54,13,70255,188,8,1,4,183
207,2,2010-07-20 04:00:14,48,,,,0,,
208,2,2010-07-20 04:07:11,4,,74,,1,,
209,2,2010-07-20 04:16:52,19,,174,,4,,174
210,2,2010-07-20 04:19:12,9,,183,,3,,183
211,2,2010-07-20 04:49:07,6,,187,,0,,
212,1,2010-07-20 04:54:20,3,430,190,3,0,,190
213,1,2010-07-20 05:02:33,51,9772,159,13,3,42,159
214,2,2010-07-20 05:02:42,4,,40,,0,,
215,2,2010-07-20 05:03:12,1,,187,,2,,
216,1,2010-07-20 05:04:40,9,483,191,3,0,7,
217,2,2010-07-20 05:10:08,6,,5,,4,,5
218,2,2010-07-20 05:13:21,2,,187,,0,,
219,2,2010-07-20 05:21:14,3,,154,,3,,154
220,1,2010-07-20 05:23:04,14,9481,85,3,2,6,3911
221,2,2010-07-20 05:35:48,15,,159,,2,,159
222,1,2010-07-20 05:37:46,26,36801,191,7,1,22,88
223,1,2010-07-20 05:54:15,5,291,79,3,5,5,4872
224,1,2010-07-20 06:03:59,8,1418,128,10,3,13,183
225,1,2010-07-20 06:07:37,7,617,196,4,2,,196
226,2,2010-07-20 06:23:21,12,,173,,2,,
227,2,2010-07-20 06:24:32,2,,144,,1,,159
228,2,2010-07-20 06:27:16,2,,10,,0,,
229,2,2010-07-20 06:28:47,10,,159,,2,,4856
230,2,2010-07-20 06:35:21,5,,173,,0,,
231,2,2010-07-20 06:41:13,4,,199,,2,,
232,2,2010-07-20 06:41:25,12,,103,,2,,103
234,2,2010-07-20 06:47:14,5,,198,,1,,
235,2,2010-07-20 07:17:58,4,,13,,0,,13
236,2,2010-07-20 07:30:34,0,,138,,0,,138
237,2,2010-07-20 07:31:08,1,,199,,0,,8
238,2,2010-07-20 07:33:09,8,,138,,0,,
240,2,2010-07-20 07:55:30,4,,114,,1,,
241,2,2010-07-20 07:56:06,5,,196,,1,,
242,1,2010-07-20 07:56:16,12,470,199,2,5,3,5
243,2,2010-07-20 08:05:04,7,,196,,0,,196
244,2,2010-07-20 08:13:31,17,,13,,4,,13
245,2,2010-07-20 08:20:36,0,,196,,0,,
246,2,2010-07-20 08:28:52,6,,198,,0,,
247,2,2010-07-20 08:36:36,2,,171,,1,,
248,2,2010-07-20 08:38:38,4,,211,,0,,
249,1,2010-07-20 08:49:13,4,454,213,1,1,,17230
250,2,2010-07-20 08:53:15,5,,171,,5,,171
252,2,2010-07-20 09:13:29,5,,81,,3,,81
253,2,2010-07-20 09:26:05,7,,215,,0,,215
254,2,2010-07-20 09:30:18,4,,8,,3,,8
255,2,2010-07-20 09:30:51,8,,88,,1,,
256,1,2010-07-20 09:34:22,14,1422,217,3,0,7,7290
257,1,2010-07-20 09:38:44,14,6700,217,7,1,9,159
258,1,2010-07-20 09:43:23,14,780,217,10,0,10,88
259,2,2010-07-20 09:44:11,12,,217,,5,,
260,2,2010-07-20 09:45:06,12,,217,,1,,
261,2,2010-07-20 09:45:18,12,,159,,4,,
262,2,2010-07-20 09:50:45,13,,8,,7,,8
263,2,2010-07-20 09:53:11,8,,190,,6,,190
264,2,2010-07-20 09:59:00,5,,217,,0,,
265,2,2010-07-20 10:05:48,14,,88,,0,,88
266,2,2010-07-20 10:23:56,3,,128,,0,,
267,1,2010-07-20 10:35:55,7,4254,194,2,1,1,
268,2,2010-07-20 11:01:06,3,,107,,1,,
269,1,2010-07-20 11:07:42,11,53644,62,4,0,5,88
270,1,2010-07-20 11:08:47,12,1291,90,5,0,4,8
271,2,2010-07-20 11:10:42,7,,8,,0,,805
272,2,2010-07-20 11:14:41,2,,216,,0,,
273,2,2010-07-20 11:18:01,1,,216,,0,,
274,2,2010-07-20 11:21:59,10,,90,,3,,
275,2,2010-07-20 11:29:53,5,,88,,0,,88
276,1,2010-07-20 11:43:25,8,1517,90,4,0,,
277,1,2010-07-20 11:49:02,12,3033,215,2,0,4,88
278,1,2010-07-20 11:49:27,6,120,221,3,1,1,88
279,2,2010-07-20 11:54:15,9,,62,,0,,
280,2,2010-07-20 11:54:50,4,,221,,0,,
281,2,2010-07-20 11:59:56,2,,215,,0,,919
282,2,2010-07-20 12:02:26,23,,81,,3,,29367
283,1,2010-07-20 12:09:08,22,13685,215,5,0,6,
284,2,2010-07-20 12:25:30,1,,215,,1,,
285,2,2010-07-20 12:26:39,1,,183,,1,,
286,2,2010-07-20 12:28:32,12,,211,,0,,
287,1,2010-07-20 12:29:17,7,1068,90,1,1,3,5739
288,1,2010-07-20 12:29:34,5,1093,220,3,0,1,
289,2,2010-07-20 12:32:41,4,,80,,0,,
290,1,2010-07-20 12:33:30,6,811,189,7,1,2,919
291,2,2010-07-20 12:35:43,7,,211,,0,,
292,2,2010-07-20 12:38:38,2,,56,,0,,
293,2,2010-07-20 12:43:02,4,,211,,1,,
294,2,2010-07-20 12:47:39,25,,211,,0,,
295,2,2010-07-20 12:52:55,8,,62,,0,,
296,2,2010-07-20 12:54:28,10,,127,,0,,
297,2,2010-07-20 13:08:42,5,,56,,0,,
298,1,2010-07-20 13:11:50,55,67592,125,6,4,55,919
299,2,2010-07-20 13:16:29,8,,5,,0,,5
300,2,2010-07-20 13:19:31,4,,56,,0,,
301,2,2010-07-20 13:22:40,6,,8,,7,,
302,2,2010-07-20 14:04:12,1,,196,,2,,
303,2,2010-07-20 14:08:42,2,,,,2,,9007
304,2,2010-07-20 14:13:50,0,,196,,3,,
305,1,2010-07-20 14:19:41,27,2939,196,6,0,16,159
306,2,2010-07-20 14:21:37,8,,5,,2,,
307,2,2010-07-20 14:23:30,13,,229,,3,,
308,2,2010-07-20 14:38:07,1,,22,,0,,
309,2,2010-07-20 14:40:32,2,,88,,1,,
310,2,2010-07-20 14:41:33,1,,,,5,,
311,2,2010-07-20 14:47:31,7,,89,,1,,
312,1,2010-07-20 15:03:40,4,118,,1,0,,
313,2,2010-07-20 15:10:15,3,,226,,2,,226
314,2,2010-07-20 15:10:34,11,,5,,1,,
315,2,2010-07-20 15:15:57,5,,36,,0,,
316,2,2010-07-20 15:20:38,7,,36,,1,,36
317,2,2010-07-20 15:21:01,18,,56,,0,,
318,2,2010-07-20 15:23:53,4,,,,0,,
319,2,2010-07-20 15:33:42,15,,71,,2,,
320,2,2010-07-20 15:47:04,14,,61,,0,,
321,1,2010-07-20 16:01:25,10,1950,220,1,4,4,220
322,1,2010-07-20 16:03:40,11,1449,3807,6,0,6,
323,2,2010-07-20 16:10:16,22,,3807,,2,,
324,2,2010-07-20 16:12:08,9,,3807,,0,,
326,2,2010-07-20 16:13:03,12,,3807,,1,,
327,2,2010-07-20 16:19:51,1,,3807,,0,,
328,1,2010-07-20 16:27:08,5,2388,75,9,3,15,88
329,2,2010-07-20 16:31:26,11,,5,,0,,5
331,2,2010-07-20 16:43:42,5,,61,,1,,
333,2,2010-07-20 17:17:21,3,,74,,3,,74
337,2,2010-07-20 17:20:41,1,,88,,4,,88
338,2,2010-07-20 17:22:01,7,,89,,2,,8
339,2,2010-07-20 17:31:49,1,,218,,6,,
340,2,2010-07-20 17:41:00,5,,74,,0,,
341,1,2010-07-20 18:12:29,2,435,88,2,0,,190
342,2,2010-07-20 18:13:44,3,,139,,0,,
343,2,2010-07-20 18:16:17,3,,88,,0,,
344,2,2010-07-20 18:17:25,3,,88,,2,,
345,2,2010-07-20 19:08:50,1,,247,,0,,
346,1,2010-07-20 19:21:16,26,4873,247,10,2,9,8
347,2,2010-07-20 19:50:57,2,,15,,0,,
348,2,2010-07-20 19:54:13,-4,,24,,2,,24
349,2,2010-07-20 19:59:33,8,,54,,5,,54
350,2,2010-07-20 20:12:26,1,,178,,0,,
351,2,2010-07-20 21:05:35,4,,16,,0,,
352,2,2010-07-20 21:18:45,1,,8,,1,,8
353,2,2010-07-20 22:11:54,11,,61,,1,,
354,1,2010-07-20 22:26:26,8,676,3807,4,0,4,930
355,2,2010-07-20 22:27:42,1,,158,,0,,
356,2,2010-07-20 22:31:45,2,,8,,0,,
357,2,2010-07-20 23:07:48,5,,3807,,5,,3807
358,2,2010-07-20 23:21:05,6,,88,,4,,88
359,1,2010-07-20 23:28:49,9,425,90,2,1,4,
360,2,2010-07-20 23:56:33,4,,88,,2,,
361,2,2010-07-21 00:09:09,13,,170,,1,,
362,1,2010-07-21 00:24:35,14,25597,196,2,0,7,805
363,1,2010-07-21 00:44:08,52,5188,74,19,2,65,
365,2,2010-07-21 01:04:08,4,,226,,0,,
366,2,2010-07-21 01:23:00,1,,226,,0,,
367,2,2010-07-21 01:35:13,17,,90,,1,,
368,2,2010-07-21 03:01:00,2,,,,2,,
369,1,2010-07-21 03:47:17,6,485,191,4,0,6,88
370,2,2010-07-21 03:48:55,27,,159,,2,,
371,2,2010-07-21 04:19:00,15,,34,,2,,
372,1,2010-07-21 04:26:07,2,754,252,2,5,5,509
373,1,2010-07-21 04:30:50,24,1439,252,12,2,12,22468
374,1,2010-07-21 04:32:42,6,273,252,1,0,1,88
375,1,2010-07-21 04:34:45,7,437,252,0,1,0,190
376,2,2010-07-21 04:48:50,9,,61,,0,,
377,2,2010-07-21 05:45:43,7,,173,,0,,
378,2,2010-07-21 05:54:25,11,,68,,0,,
379,2,2010-07-21 06:09:43,5,,190,,0,,190
380,2,2010-07-21 06:15:36,3,,88,,0,,
381,2,2010-07-21 06:22:51,6,,223,,0,,
382,2,2010-07-21 06:28:23,3,,190,,0,,
383,2,2010-07-21 06:28:43,3,,251,,0,,
384,2,2010-07-21 06:33:36,1,,190,,0,,
385,2,2010-07-21 06:39:38,4,,190,,1,,
386,2,2010-07-21 06:46:11,10,,223,,5,,223
387,2,2010-07-21 07:04:26,36,,69,,0,,
388,2,2010-07-21 07:15:54,4,,251,,1,,
389,2,2010-07-21 07:51:34,12,,199,,0,,
390,2,2010-07-21 08:01:54,4,,74,,3,,74
392,2,2010-07-21 08:19:36,5,,251,,0,,
393,2,2010-07-21 09:02:11,26,,223,,2,,439
394,2,2010-07-21 09:53:40,0,,210,,0,,17230
395,1,2010-07-21 10:13:25,4,174,210,2,1,1,556
396,1,2010-07-21 11:00:44,31,2694,,15,0,20,9007
397,2,2010-07-21 11:11:47,5,,8,,0,,8
398,2,2010-07-21 11:16:55,14,,5,,1,,
399,2,2010-07-21 11:18:56,22,,190,,3,,
400,2,2010-07-21 11:20:45,10,,210,,3,,3874
401,2,2010-07-21 12:22:21,2,,256,,0,,5505
402,2,2010-07-21 12:30:43,3,,226,,2,,
403,2,2010-07-21 12:33:43,1,,256,,0,,
404,2,2010-07-21 12:37:31,6,,46,,1,,
405,2,2010-07-21 12:38:51,1,,190,,1,,
406,2,2010-07-21 12:43:00,11,,256,,0,,
407,2,2010-07-21 12:59:00,1,,256,,0,,
408,2,2010-07-21 13:01:39,8,,56,,0,,
409,1,2010-07-21 13:11:33,2,232,219,2,0,,219
410,2,2010-07-21 13:20:53,2,,56,,2,,
411,1,2010-07-21 13:39:06,31,3293,89,6,8,9,29617
412,2,2010-07-21 13:40:02,4,,8,,0,,
413,2,2010-07-21 13:48:15,5,,223,,0,,
414,1,2010-07-21 13:50:08,20,5291,89,6,0,19,509
415,2,2010-07-21 13:53:13,4,,223,,1,,
416,2,2010-07-21 14:00:03,14,,215,,1,,
417,2,2010-07-21 14:01:46,6,,251,,0,,
418,1,2010-07-21 14:30:42,13,1382,77,3,1,5,88
419,2,2010-07-21 14:43:31,4,,215,,0,,
420,2,2010-07-21 14:55:06,8,,89,,1,,
421,1,2010-07-21 15:01:21,52,11458,219,28,4,56,2669
422,2,2010-07-21 15:09:11,0,,247,,1,,
423,1,2010-07-21 15:13:21,156,64481,5,56,7,135,509
424,2,2010-07-21 15:21:33,109,,88,,3,,
425,2,2010-07-21 15:23:53,88,,13,,0,,13
427,2,2010-07-21 15:33:11,14,,215,,0,,
428,2,2010-07-21 15:35:45,3,,210,,2,,
429,2,2010-07-21 15:36:34,14,,39,,5,,
430,2,2010-07-21 15:37:17,14,,251,,2,,251
431,2,2010-07-21 15:38:11,7,,215,,0,,159
432,2,2010-07-21 15:38:46,96,,8,,1,,
433,2,2010-07-21 15:43:44,40,,5,,0,,
434,2,2010-07-21 15:50:43,24,,215,,4,,
435,2,2010-07-21 15:53:59,84,,88,,1,,
436,2,2010-07-21 16:04:18,14,,215,,0,,509
437,2,2010-07-21 16:07:20,2,,215,,1,,
438,2,2010-07-21 16:42:43,10,,215,,1,,
439,2,2010-07-21 16:50:35,8,,30,,1,,30
440,2,2010-07-21 16:53:35,13,,36,,0,,
441,2,2010-07-21 16:54:38,5,,36,,0,,
442,2,2010-07-21 16:56:45,7,,36,,0,,
443,2,2010-07-21 17:06:32,7,,215,,0,,9007
445,2,2010-07-21 17:13:33,2,,215,,2,,
446,2,2010-07-21 17:17:45,7,,215,,0,,9007
447,2,2010-07-21 17:26:14,5,,215,,0,,
448,2,2010-07-21 17:26:15,6,,77,,0,,
449,2,2010-07-21 17:28:57,1,,215,,0,,
450,2,2010-07-21 17:30:02,6,,88,,3,,
451,2,2010-07-21 17:38:08,5,,215,,1,,24560
452,1,2010-07-21 17:45:01,9,9951,215,5,4,2,8
453,2,2010-07-21 17:54:05,8,,74,,0,,
454,2,2010-07-21 18:11:59,1,,62,,0,,
455,2,2010-07-21 18:18:13,27,,13,,1,,3807
456,2,2010-07-21 18:26:02,6,,39,,0,,39
457,2,2010-07-21 18:28:27,4,,,,3,,
458,2,2010-07-21 18:41:12,2,,226,,0,,
459,1,2010-07-21 19:59:48,7,367,259,4,0,,805
460,2,2010-07-21 20:03:40,6,,61,,2,,
461,2,2010-07-21 20:07:32,2,,71,,3,,
462,2,2010-07-21 20:11:02,8,,88,,0,,
463,2,2010-07-21 20:29:12,5,,90,,0,,
464,2,2010-07-21 20:34:43,3,,88,,4,,
465,2,2010-07-21 20:45:08,2,,90,,0,,
466,2,2010-07-21 20:53:54,5,,115,,0,,
467,2,2010-07-21 21:04:03,5,,115,,0,,
468,2,2010-07-21 22:05:04,4,,251,,0,,
469,2,2010-07-21 22:13:19,4,,251,,0,,
470,2,2010-07-21 22:35:38,32,,36,,6,,218
471,2,2010-07-21 22:57:58,14,,168,,1,,159
472,2,2010-07-21 23:00:34,6,,61,,0,,
473,2,2010-07-22 02:37:18,2,,260,,0,,
474,2,2010-07-22 03:21:18,5,,260,,0,,
475,2,2010-07-22 03:55:48,3,,253,,0,,
476,2,2010-07-22 04:34:32,7,,251,,0,,
477,2,2010-07-22 04:58:50,1,,251,,0,,
478,2,2010-07-22 05:13:17,12,,251,,4,,13280
479,2,2010-07-22 07:28:42,9,,128,,4,,
480,1,2010-07-22 08:58:36,14,1711,223,2,0,4,217
481,1,2010-07-22 09:17:27,7,885,199,3,0,1,
482,2,2010-07-22 09:24:52,5,,190,,0,,
483,2,2010-07-22 09:53:52,14,,88,,2,,2798
485,1,2010-07-22 10:08:10,48,4470,183,19,3,57,183
486,1,2010-07-22 10:11:15,17,23985,266,4,4,4,449
487,2,2010-07-22 10:15:28,9,,266,,1,,
488,2,2010-07-22 10:16:18,10,,183,,1,,30807
489,2,2010-07-22 11:05:55,3,,214,,0,,
490,1,2010-07-22 11:10:29,16,2262,223,6,2,12,486
491,2,2010-07-22 11:19:10,2,,268,,0,,
492,1,2010-07-22 11:31:16,10,534,210,6,3,2,919
493,2,2010-07-22 11:33:47,3,,268,,0,,
494,2,2010-07-22 11:42:42,6,,88,,2,,88
495,2,2010-07-22 11:43:42,6,,214,,1,,
496,2,2010-07-22 11:44:13,6,,190,,0,,
497,2,2010-07-22 11:53:51,3,,190,,4,,
498,1,2010-07-22 11:58:21,2,2137,62,5,11,,
499,1,2010-07-22 12:06:28,17,478,267,5,0,3,267
500,2,2010-07-22 12:16:29,2,,190,,1,,
501,2,2010-07-22 12:17:20,3,,88,,7,,223
502,2,2010-07-22 12:25:42,5,,,,0,,
503,2,2010-07-22 12:25:48,2,,256,,1,,
504,2,2010-07-22 12:33:49,4,,5,,0,,
505,2,2010-07-22 12:42:13,5,,88,,0,,
506,2,2010-07-22 13:10:57,13,,215,,1,,
507,1,2010-07-22 13:40:30,12,3303,215,4,1,4,
508,2,2010-07-22 13:41:53,1,,266,,0,,
509,2,2010-07-22 13:43:18,2,,,,0,,
510,2,2010-07-22 13:49:37,35,,266,,0,,
511,2,2010-07-22 14:32:20,26,,3807,,0,,
512,2,2010-07-22 14:52:54,8,,33,,2,,
