Id,Reputation,CreationDate,Views,UpVotes,DownVotes
288,86,2010-07-26 19:17:42,3,9,0
290,129,2010-07-26 19:19:06,127,8,4
291,251,2010-07-26 19:19:36,17,51,0
292,138,2010-07-26 19:19:42,13,15,4
293,101,2010-07-26 19:20:18,0,0,0
297,103,2010-07-26 19:24:47,2,17,0
298,111,2010-07-26 19:25:55,6,2,0
300,524,2010-07-26 19:27:23,44,223,0
301,155,2010-07-26 19:28:37,6,6,1
302,246,2010-07-26 19:29:31,36,17,1
303,238,2010-07-26 19:30:19,140,1,1
305,118,2010-07-26 19:33:23,24,4,0
307,4829,2010-07-26 19:35:38,1088,692,3
308,101,2010-07-26 19:37:40,3,0,0
310,101,2010-07-26 19:43:09,0,0,0
311,101,2010-07-26 19:44:40,1,0,0
314,101,2010-07-26 19:46:08,1,0,0
315,611,2010-07-26 19:46:11,49,2,0
316,101,2010-07-26 19:46:44,0,0,0
317,81,2010-07-26 19:53:07,24,0,0
319,1994,2010-07-26 20:00:03,523,62,0
320,101,2010-07-26 20:01:52,0,3,0
322,101,2010-07-26 20:04:17,0,0,0
325,101,2010-07-26 20:11:21,1,0,0
326,101,2010-07-26 20:12:22,5,5,0
327,303,2010-07-26 20:14:35,36,0,0
329,101,2010-07-26 20:20:20,1,0,0
330,101,2010-07-26 20:20:23,1,0,0
333,1233,2010-07-26 20:29:50,104,75,4
334,5134,2010-07-26 20:29:59,842,58,9
335,101,2010-07-26 20:30:09,0,4,0
338,126,2010-07-26 20:48:32,2,0,0
339,3039,2010-07-26 20:58:01,363,125,0
340,101,2010-07-26 20:59:42,4,0,0
344,101,2010-07-26 21:12:37,0,0,0
346,101,2010-07-26 21:17:49,0,4,0
347,101,2010-07-26 21:19:45,0,0,0
350,101,2010-07-26 21:31:01,1,2,0
351,101,2010-07-26 21:36:47,8,1,0
352,793,2010-07-26 21:46:11,99,236,2
353,101,2010-07-26 21:47:23,6,2,0
354,101,2010-07-26 21:47:37,1,3,0
357,101,2010-07-26 22:04:44,0,3,0
358,51,2010-07-26 22:08:48,4,12,0
360,101,2010-07-26 22:25:20,1,0,0
362,101,2010-07-26 22:33:49,0,0,1
364,5442,2010-07-26 22:38:04,671,115,2
365,101,2010-07-26 22:45:05,1,2,0
366,21,2010-07-26 22:57:59,14,0,0
367,111,2010-07-26 23:48:16,0,0,0
368,369,2010-07-27 00:09:51,18,5,0
369,29,2010-07-27 00:21:02,1,0,0
371,101,2010-07-27 00:27:02,1,0,0
373,101,2010-07-27 00:45:13,1,13,0
374,101,2010-07-27 01:23:24,1,0,0
375,529,2010-07-27 01:32:40,46,9,0
377,101,2010-07-27 01:41:52,2,0,0
378,316,2010-07-27 01:42:25,6,2,0
380,101,2010-07-27 01:46:13,2,4,0
381,101,2010-07-27 01:49:29,0,1,0
382,101,2010-07-27 01:52:25,0,0,0
383,101,2010-07-27 01:57:59,1,3,0
384,101,2010-07-27 02:00:30,0,0,0
385,101,2010-07-27 02:03:38,0,0,0
386,891,2010-07-27 02:08:06,185,55,0
389,101,2010-07-27 02:28:04,0,7,0
390,101,2010-07-27 02:32:59,0,0,0
391,101,2010-07-27 02:37:13,2,1,0
392,101,2010-07-27 02:45:18,2,1,0
393,101,2010-07-27 02:46:17,1,0,0
394,33,2010-07-27 02:48:57,5,0,0
395,101,2010-07-27 02:56:06,0,7,0
396,101,2010-07-27 03:02:05,2,0,0
397,101,2010-07-27 03:05:34,7,2,0
398,101,2010-07-27 03:08:43,4,1,0
399,101,2010-07-27 03:19:51,0,0,0
400,213,2010-07-27 03:25:01,14,0,0
401,6906,2010-07-27 03:35:03,1070,394,6
402,61,2010-07-27 03:55:21,2,0,0
406,101,2010-07-27 04:34:09,2,0,0
407,101,2010-07-27 04:51:22,2,0,0
408,101,2010-07-27 05:37:59,1,0,0
410,123,2010-07-27 06:49:16,5,21,0
411,101,2010-07-27 06:59:32,1,2,0
412,101,2010-07-27 07:02:54,1,8,0
413,101,2010-07-27 07:09:59,0,26,0
414,106,2010-07-27 07:11:24,4,1,0
417,101,2010-07-27 07:28:07,1,1,0
419,379,2010-07-27 07:48:22,25,7,0
420,101,2010-07-27 07:51:27,4,244,0
422,111,2010-07-27 08:05:44,1,7,0
424,101,2010-07-27 08:15:19,1,0,0
426,101,2010-07-27 08:27:51,1,0,0
427,38,2010-07-27 08:33:16,10,17,0
428,126,2010-07-27 08:35:57,1,0,0
431,71,2010-07-27 08:42:57,28,1,0
432,101,2010-07-27 08:53:37,1,0,0
434,111,2010-07-27 09:05:51,7,54,0
435,101,2010-07-27 09:09:08,1,0,0
436,101,2010-07-27 09:24:00,0,0,0
438,2133,2010-07-27 09:38:05,272,28,1
439,2031,2010-07-27 09:47:14,268,152,1
440,101,2010-07-27 09:54:05,0,0,0
441,101,2010-07-27 09:56:56,0,0,0
442,6431,2010-07-27 10:01:37,973,857,21
443,11,2010-07-27 10:54:56,1,0,0
444,101,2010-07-27 11:08:16,0,0,0
445,152,2010-07-27 11:14:08,10,32,0
446,118,2010-07-27 11:28:08,8,12,0
447,1422,2010-07-27 11:31:20,173,20,0
449,12813,2010-07-27 12:10:34,1089,1607,57
452,111,2010-07-27 12:49:09,1,3,0
453,131,2010-07-27 12:49:59,1,0,0
455,378,2010-07-27 12:53:27,24,26,0
456,101,2010-07-27 12:56:49,1,0,0
457,101,2010-07-27 12:58:06,0,0,0
458,101,2010-07-27 12:58:30,0,0,0
460,148,2010-07-27 13:09:27,5,4,0
461,101,2010-07-27 13:15:25,2,13,0
462,101,2010-07-27 13:17:35,0,0,0
463,141,2010-07-27 13:39:31,11,11,0
465,101,2010-07-27 13:44:02,1,0,0
467,101,2010-07-27 14:04:00,3,3,0
468,141,2010-07-27 14:34:37,1,2,0
469,101,2010-07-27 14:51:51,0,1,0
472,101,2010-07-27 15:01:00,0,0,0
474,22,2010-07-27 15:08:11,12,0,0
475,101,2010-07-27 15:13:46,1,0,0
476,208,2010-07-27 15:19:49,7,0,1
478,300,2010-07-27 15:21:03,29,13,0
480,113,2010-07-27 15:29:32,4,0,0
481,31,2010-07-27 15:37:50,4,0,0
482,61,2010-07-27 15:39:48,9,0,0
483,101,2010-07-27 15:39:58,1,0,0
485,2908,2010-07-27 15:45:22,265,444,11
486,101,2010-07-27 16:04:41,0,46,0
488,109,2010-07-27 16:20:01,7,2,0
490,1,2010-07-27 16:25:59,1,0,0
491,46,2010-07-27 16:52:47,3,0,0
492,1,2010-07-27 17:10:30,6,0,0
493,909,2010-07-27 17:15:01,96,87,4
494,11,2010-07-27 17:15:57,9,0,0
495,2092,2010-07-27 17:22:39,272,32,4
498,19,2010-07-27 17:46:24,1,0,0
500,104,2010-07-27 18:01:17,2,0,0
501,300,2010-07-27 18:12:26,20,9,0
503,108,2010-07-27 19:09:51,8,1,0
504,101,2010-07-27 19:11:21,3,1,0
506,223,2010-07-27 19:48:56,29,14,0
509,139,2010-07-27 20:27:14,90,24,2
510,101,2010-07-27 21:01:19,1,0,0
511,1796,2010-07-27 21:03:53,516,33,4
512,101,2010-07-27 21:09:02,1,0,0
513,16,2010-07-27 22:00:34,5,0,0
516,157,2010-07-27 22:46:10,11,3,0
517,101,2010-07-27 22:46:19,0,0,0
520,268,2010-07-27 23:53:12,42,9,0
521,2133,2010-07-28 00:56:47,205,65,0
522,101,2010-07-28 01:04:00,1,0,0
523,326,2010-07-28 01:16:16,32,10,0
524,101,2010-07-28 01:32:55,1,0,0
526,1,2010-07-28 02:44:49,1,0,0
527,125,2010-07-28 03:50:31,6,61,0
528,148,2010-07-28 04:15:32,22,1,0
529,118,2010-07-28 04:35:44,40,61,0
530,599,2010-07-28 05:55:31,77,2,0
531,19,2010-07-28 06:17:34,7,0,0
536,101,2010-07-28 07:30:52,1,0,0
539,279,2010-07-28 09:30:52,31,14,0
541,141,2010-07-28 09:45:22,9,0,0
542,101,2010-07-28 10:07:46,1,0,0
543,101,2010-07-28 11:39:00,0,0,0
546,138,2010-07-28 12:42:23,11,1,0
547,101,2010-07-28 12:51:37,10,0,0
549,286,2010-07-28 14:13:54,39,5,0
553,101,2010-07-28 14:50:55,4,0,0
555,101,2010-07-28 15:13:40,2,0,0
556,113,2010-07-28 15:23:37,22,33,0
557,1273,2010-07-28 15:54:59,142,58,0
558,101,2010-07-28 16:39:07,1,0,0
559,485,2010-07-28 17:01:15,44,9,0
560,104,2010-07-28 17:52:46,6,0,0
561,2002,2010-07-28 18:07:51,186,155,11
562,173,2010-07-28 18:09:57,21,6,0
563,101,2010-07-28 18:52:10,0,0,0
564,101,2010-07-28 19:22:43,0,0,0
565,125,2010-07-28 19:29:11,32,22,0
566,11,2010-07-28 20:08:01,37,17,0
569,307,2010-07-28 21:42:07,46,43,0
572,161,2010-07-28 22:56:32,19,2,0
573,365,2010-07-28 23:56:00,40,260,0
575,101,2010-07-29 00:43:47,3,0,0
577,101,2010-07-29 01:54:30,0,0,0
578,65,2010-07-29 02:21:04,14,7,0
582,2400,2010-07-29 06:38:18,293,692,23
583,101,2010-07-29 08:13:33,0,0,0
586,101,2010-07-29 09:47:14,0,1,0
588,1034,2010-07-29 10:36:25,185,38,0
589,58,2010-07-29 11:14:51,11,4,0
590,101,2010-07-29 11:47:02,1,0,0
591,101,2010-07-29 12:15:58,1,0,0
593,108,2010-07-29 12:44:58,0,3,0
594,101,2010-07-29 12:49:13,1,0,0
595,146,2010-07-29 13:19:38,25,57,0
596,101,2010-07-29 13:20:27,2,0,0
597,232,2010-07-29 13:55:49,12,178,2
600,165,2010-07-29 14:14:28,4,33,0
601,13478,2010-07-29 14:29:12,1286,283,17
603,10647,2010-07-29 15:38:09,1225,683,49
605,108,2010-07-29 17:30:20,3,4,0
606,101,2010-07-29 17:55:31,0,0,0
608,138,2010-07-29 18:45:30,18,4,0
609,691,2010-07-29 18:47:17,113,44,1
612,1,2010-07-29 20:51:51,1,0,0
613,101,2010-07-29 21:07:45,0,0,0
614,305,2010-07-29 21:51:38,34,7,0
615,379,2010-07-29 23:57:53,51,163,49
616,26,2010-07-30 00:40:17,6,0,0
617,101,2010-07-30 05:36:19,0,9,0
618,101,2010-07-30 08:50:23,2,0,0
621,101,2010-07-30 15:00:53,1,22,0
624,121,2010-07-30 17:50:53,6,0,0
626,101,2010-07-30 21:16:07,3,0,0
629,133,2010-07-31 03:42:43,9,0,0
631,101,2010-07-31 11:22:56,1,0,0
632,202,2010-07-31 15:29:00,38,69,0
633,101,2010-07-31 16:04:26,2,0,0
634,426,2010-07-31 17:32:56,47,8,0
635,146,2010-07-31 18:43:27,3,1,0
636,1,2010-07-31 19:25:25,0,0,0
637,118,2010-07-31 19:53:05,6,25,0
638,241,2010-07-31 21:33:59,13,2,0
640,101,2010-08-01 09:11:17,1,0,0
641,1,2010-08-01 11:01:58,0,0,0
642,23,2010-08-01 11:50:09,0,0,0
643,251,2010-08-01 13:19:24,31,13,0
644,28,2010-08-01 17:36:06,16,2,0
646,111,2010-08-01 19:16:33,5,26,1
647,141,2010-08-01 22:30:50,19,14,0
648,101,2010-08-02 02:31:37,0,0,0
650,230,2010-08-02 09:27:50,42,45,0
652,158,2010-08-02 14:11:40,6,0,0
653,1,2010-08-02 15:01:32,4,0,0
656,2320,2010-08-02 16:17:58,203,1273,7
660,286,2010-08-02 17:05:59,37,16,3
665,58,2010-08-02 20:27:01,3,5,0
666,1855,2010-08-02 20:31:12,105,71,0
667,406,2010-08-02 20:36:09,56,11,0
668,101,2010-08-02 20:53:57,12,2,0
669,101,2010-08-02 21:40:16,1,0,0
671,101,2010-08-02 22:14:23,4,9,0
672,111,2010-08-02 22:53:57,8,1,0
676,101,2010-08-03 05:28:28,9,0,0
677,101,2010-08-03 06:40:51,0,2,0
679,336,2010-08-03 10:55:48,15,0,0
681,101,2010-08-03 12:42:05,0,4,0
682,101,2010-08-03 15:46:37,1,0,0
683,101,2010-08-03 15:59:47,1,0,0
684,186,2010-08-03 19:30:57,16,8,0
685,1,2010-08-03 19:39:26,0,0,0
686,44152,2010-08-03 19:42:40,7357,2156,82
687,26,2010-08-03 19:50:23,0,0,0
689,101,2010-08-03 20:21:32,0,0,0
690,121,2010-08-03 21:09:43,7,5,0
691,1,2010-08-03 21:58:35,1,0,0
692,101,2010-08-03 22:26:27,0,0,0
696,2282,2010-08-04 02:10:41,182,136,18
697,176,2010-08-04 03:06:13,18,57,2
698,113,2010-08-04 05:27:22,2,2,0
700,101,2010-08-04 07:01:46,0,0,0
701,101,2010-08-04 07:14:56,0,0,0
702,424,2010-08-04 07:18:54,37,34,2
703,101,2010-08-04 07:30:53,0,0,0
704,577,2010-08-04 07:36:20,64,51,0
705,121,2010-08-04 08:01:10,1,3,0
706,101,2010-08-04 08:50:04,0,0,0
707,101,2010-08-04 08:50:44,57,10,0
708,101,2010-08-04 08:57:32,0,1,0
710,101,2010-08-04 09:24:36,0,0,0
711,101,2010-08-04 09:47:35,0,0,0
713,6,2010-08-04 10:50:55,3,0,0
714,101,2010-08-04 10:52:19,0,0,0
715,101,2010-08-04 10:56:33,0,0,0
716,1,2010-08-04 11:02:56,4,0,0
717,101,2010-08-04 11:04:32,0,0,0
718,101,2010-08-04 11:06:18,1,0,0
719,101,2010-08-04 11:28:54,0,0,0
720,101,2010-08-04 11:32:57,0,0,0
721,121,2010-08-04 12:25:14,3,7,0
722,113,2010-08-04 12:31:18,1,1,0
723,101,2010-08-04 12:57:16,0,0,0
724,101,2010-08-04 13:04:42,1,0,0
725,101,2010-08-04 14:03:24,0,0,0
726,185,2010-08-04 14:12:03,9,24,0
727,101,2010-08-04 14:14:35,1,0,0
728,101,2010-08-04 14:34:11,0,0,0
729,136,2010-08-04 14:46:59,10,1,0
732,151,2010-08-04 15:10:55,9,1,0
733,101,2010-08-04 15:16:51,2,0,0
734,101,2010-08-04 15:51:53,8,1,0
735,101,2010-08-04 16:02:56,0,4,0
736,101,2010-08-04 16:06:28,1,0,0
737,93,2010-08-04 16:51:36,3,1,0
738,131,2010-08-04 16:51:56,8,6,0
739,106,2010-08-04 16:56:38,9,2,0
740,305,2010-08-04 16:59:53,92,41,2
741,262,2010-08-04 18:04:13,20,6,0
742,101,2010-08-04 18:09:31,0,0,0
743,235,2010-08-04 18:21:49,13,26,0
744,101,2010-08-04 19:24:10,1,0,0
745,101,2010-08-04 19:44:34,1,0,0
746,101,2010-08-04 20:11:19,0,2,0
747,143,2010-08-04 20:48:56,4,3,0
748,101,2010-08-04 20:59:48,0,0,0
749,292,2010-08-04 21:00:50,35,6,0
751,101,2010-08-04 21:54:45,0,0,0
753,101,2010-08-05 00:23:39,34,3,0
754,101,2010-08-05 01:08:36,0,0,0
755,101,2010-08-05 02:03:53,0,0,0
760,168,2010-08-05 10:03:14,13,13,0
762,48,2010-08-05 11:59:24,7,1,0
764,101,2010-08-05 13:05:27,0,1,0
765,86,2010-08-05 13:34:26,11,0,0
767,66,2010-08-05 15:22:49,9,1,0
768,101,2010-08-05 15:36:52,7,1,0
770,139,2010-08-05 17:28:05,13,61,0
771,101,2010-08-05 17:43:40,1,0,0
772,101,2010-08-05 17:55:07,1,0,0
774,101,2010-08-05 19:14:13,0,1,0
775,436,2010-08-05 19:24:18,24,5,0
776,1895,2010-08-05 19:40:44,312,225,1
777,101,2010-08-05 19:41:25,0,0,0
778,311,2010-08-05 20:34:34,36,49,0
779,103,2010-08-05 21:21:27,0,1,1
780,101,2010-08-05 21:46:40,0,1,0
781,566,2010-08-06 00:29:25,78,9,1
782,141,2010-08-06 02:22:35,0,5,0
785,101,2010-08-06 04:47:11,1,0,0
786,101,2010-08-06 07:03:05,1,0,0
787,111,2010-08-06 07:08:33,3,2,0
789,151,2010-08-06 07:43:09,11,2,0
791,123,2010-08-06 13:56:03,8,20,0
793,101,2010-08-06 14:22:25,0,0,0
795,5606,2010-08-06 18:53:54,967,1547,8
797,101,2010-08-06 21:02:27,1,0,0
798,101,2010-08-06 22:19:13,0,1,0
799,103,2010-08-07 03:40:52,7,0,0
800,244,2010-08-07 05:59:35,18,15,0
801,111,2010-08-07 06:37:35,6,3,0
802,101,2010-08-07 06:40:19,2,0,0
803,118,2010-08-07 06:51:49,13,0,0
805,65272,2010-08-07 08:40:07,5680,7035,143
806,111,2010-08-07 11:41:50,3,0,0
807,123,2010-08-07 12:38:05,5,14,0
808,101,2010-08-07 13:00:56,8,27,0
809,116,2010-08-07 13:25:15,6,0,0
812,628,2010-08-07 15:20:22,98,215,2
813,101,2010-08-07 16:14:13,0,2,0
814,101,2010-08-07 18:27:11,0,0,0
816,101,2010-08-07 23:40:03,0,0,0
819,101,2010-08-08 06:23:38,0,0,0
821,101,2010-08-08 14:52:18,1,0,0
822,101,2010-08-08 16:11:26,0,0,0
823,101,2010-08-08 18:09:35,1,0,0
825,138,2010-08-08 23:28:04,7,1,0
